t_day,t_month,t_year,Genre,views,likes,dislikes,comment_count
1,1,1,Science & Technology,3237,161,2,35
6,6,6,People & Blogs,43012,754,87,123
4,4,4,Science & Technology,3635,84,3,21
1,1,1,Music,2152261,7824,158,324
4,4,4,Entertainment,140520,1852,33,113
4,4,4,Travel & Events,41165,393,25,34
2,2,2,Science & Technology,7977,28,5,4
4,4,4,Entertainment,1843404,613,29,38
11,11,11,Entertainment,1820485,51259,2250,16548
4,4,4,Music,249897,9070,146,463
7,7,7,People & Blogs,1357946,18388,27497,9336
7,7,7,Entertainment,91161,882,214,249
7,7,7,Entertainment,1329391,48386,126931,90365
3,3,3,Entertainment,2087,4,0,0
3,3,3,Entertainment,849499,27121,2042,5181
9,9,9,Gaming,4610501,125244,42051,32255
4,4,4,People & Blogs,4541899,99200,4372,9020
9,9,9,People & Blogs,1687323,24156,1755,6241
7,7,7,People & Blogs,4502927,93385,7992,16332
6,6,6,People & Blogs,4787793,116418,5587,16879
2,2,2,Howto & Style,24907,611,42,98
8,8,8,Science & Technology,1649128,63594,1771,4819
3,3,3,Howto & Style,1966994,187947,1355,99980
16,16,16,Entertainment,1259565,21892,844,2815
4,4,4,Science & Technology,322747,9110,320,763
7,7,7,People & Blogs,2898292,48651,3599,4729
16,16,16,People & Blogs,5613561,98856,11391,11814
4,4,4,People & Blogs,6037731,132975,7040,13109
6,6,6,People & Blogs,8403143,161689,8748,20545
8,8,8,Comedy,661502,5919,293,776
10,10,10,People & Blogs,386159,19104,962,1704
1,1,1,Howto & Style,3096627,143831,3274,104113
5,5,5,People & Blogs,4551374,67414,6704,6523
4,4,4,People & Blogs,4203581,91331,2802,10125
5,5,5,People & Blogs,5213752,99021,5093,10877
1,1,1,People & Blogs,4520175,102881,2353,8239
5,5,5,People & Blogs,4518449,179304,2030,5875
11,11,11,Entertainment,395229,2072,1261,801
7,7,7,Sports,58234,396,40,177
7,7,7,Entertainment,72999,3859,109,737
4,4,4,Film & Animation,35615,1217,13,182
5,5,5,Entertainment,112034,3970,36,470
1,1,1,News & Politics,21700,43,19,70
8,8,8,News & Politics,899565,2435,887,1063
2,2,2,Travel & Events,1037561,716,117,223
3,3,3,Entertainment,3914,48,3,25
3,3,3,Entertainment,231513,5005,171,1449
1,1,1,Entertainment,94139,2748,105,137
4,4,4,Entertainment,43221,1129,13,274
5,5,5,Entertainment,11661,477,11,109
15,15,15,Entertainment,1071030,4620,1838,7393
1,1,1,Entertainment,690533,43217,304,1617
3,3,3,News & Politics,53635,1083,27,299
1,1,1,Entertainment,186023,3442,106,159
3,3,3,People & Blogs,142653,5509,28,433
4,4,4,Film & Animation,64261,447,65,89
6,6,6,Entertainment,52100,449,33,84
6,6,6,Entertainment,31319,632,17,155
8,8,8,Music,206873,3362,129,223
6,6,6,Entertainment,230403,2413,581,2002
11,11,11,Entertainment,800472,14020,957,3741
6,6,6,Entertainment,515555,5599,1064,4856
4,4,4,Film & Animation,28630,926,39,43
6,6,6,Howto & Style,615784,30014,769,2944
12,12,12,Howto & Style,2607302,110287,3109,11474
3,3,3,Entertainment,2183863,24659,638,1290
1,1,1,Entertainment,252729,7472,56,1462
7,7,7,Entertainment,292715,6145,496,1544
7,7,7,Entertainment,291980,6303,547,1845
7,7,7,Entertainment,272661,6596,255,1417
6,6,6,Entertainment,249572,7944,301,1431
16,16,16,Comedy,2305537,225422,8704,41492
14,14,14,Science & Technology,3916992,27409,500,1814
6,6,6,Science & Technology,208865,1542,62,192
2,2,2,Entertainment,74210,5451,201,947
3,3,3,News & Politics,559,9,0,5
8,8,8,Entertainment,2787618,25712,2135,2708
8,8,8,Education,400413,12830,1064,2273
5,5,5,Entertainment,1941169,11631,5837,3230
7,7,7,Entertainment,414562,2607,746,407
7,7,7,Entertainment,1381758,88716,1282,9330
4,4,4,Howto & Style,16080,436,18,66
6,6,6,Entertainment,1014163,23095,1256,4272
7,7,7,Education,379054,16597,500,1935
7,7,7,Entertainment,214916,7813,666,1002
2,2,2,Entertainment,218721,7893,670,776
5,5,5,Entertainment,486455,11066,1594,1549
10,10,10,Comedy,1358990,34579,1224,11744
2,2,2,Science & Technology,493348,17150,480,5839
6,6,6,Howto & Style,75289,4866,52,362
18,18,18,Entertainment,726277,17921,3172,3678
11,11,11,Entertainment,774567,14434,362,927
11,11,11,Howto & Style,650882,40937,324,1293
7,7,7,Howto & Style,1456636,93590,895,15339
19,19,19,Comedy,3920987,75808,6072,23616
17,17,17,Comedy,3644362,114540,6980,18424
10,10,10,Music,3514734,98840,13808,7603
8,8,8,Entertainment,1752464,59613,1199,6964
11,11,11,Entertainment,1083920,20667,4067,4327
5,5,5,Entertainment,225280,5770,150,1312
8,8,8,Entertainment,503121,10623,625,484
10,10,10,Howto & Style,2371234,56321,1785,3829
4,4,4,Howto & Style,268241,5446,330,423
2,2,2,Entertainment,1484851,6093,304,601
13,13,13,Entertainment,1908298,55993,1349,8864
15,15,15,Howto & Style,5190938,125605,8387,4237
2,2,2,Entertainment,2670485,117768,4928,10920
5,5,5,Entertainment,6760593,229250,8891,22123
7,7,7,Howto & Style,2392206,66588,6110,13576
2,2,2,Entertainment,3742740,76756,2931,8398
13,13,13,News & Politics,451602,10960,316,1773
4,4,4,Howto & Style,247227,4733,266,722
1,1,1,Howto & Style,50934,1349,40,138
6,6,6,Education,241441,16851,221,975
9,9,9,Howto & Style,5452904,44368,11615,6256
5,5,5,Entertainment,28679,2537,6,211
3,3,3,Comedy,23727,2792,28,201
12,12,12,Entertainment,1676887,90657,2709,77113
6,6,6,Science & Technology,1181190,43752,1831,5744
14,14,14,Entertainment,794495,19735,429,5422
4,4,4,Howto & Style,106324,5113,136,588
3,3,3,Autos & Vehicles,10345,39,0,0
6,6,6,Entertainment,2721,6,1,1
4,4,4,Autos & Vehicles,4842,23,1,6
2,2,2,Autos & Vehicles,6570,15,0,8
6,6,6,Entertainment,22768,365,64,204
8,8,8,Film & Animation,1603502,6239,710,568
12,12,12,Science & Technology,1228275,34746,843,2317
7,7,7,Science & Technology,1038365,22594,2798,3142
5,5,5,News & Politics,28964,138,41,421
3,3,3,Comedy,330191,30339,380,1659
1,1,1,News & Politics,34133,46,10,24
5,5,5,Sports,3027415,31069,614,2060
13,13,13,Comedy,1782889,66165,5100,5414
6,6,6,Entertainment,139186,371,124,88
4,4,4,Entertainment,8798,60,18,20
1,1,1,Howto & Style,91167,3287,77,234
3,3,3,Education,71089,460,27,23
9,9,9,News & Politics,2304379,35108,24731,19086
6,6,6,Music,1120978,83380,619,4452
2,2,2,Howto & Style,15787,410,13,81
8,8,8,Entertainment,1203464,82357,2287,10306
3,3,3,Education,82160,548,36,142
5,5,5,Education,152916,902,73,118
1,1,1,Howto & Style,112510,3885,66,257
6,6,6,Entertainment,737415,4136,393,1314
5,5,5,Science & Technology,54703,379,64,299
6,6,6,Comedy,302703,22861,447,2064
7,7,7,People & Blogs,238661,13691,264,985
4,4,4,News & Politics,2398601,89696,18778,22375
2,2,2,Science & Technology,14370,51,1,4
13,13,13,Sports,2983487,33341,960,4845
4,4,4,Music,240123,14403,273,3746
8,8,8,Gaming,65745,1518,73,666
10,10,10,Entertainment,354451,4639,474,0
2,2,2,Sports,167556,2887,260,1424
1,1,1,Entertainment,24047,264,20,125
2,2,2,Entertainment,32548,579,68,669
13,13,13,Sports,773673,4180,863,1247
7,7,7,Autos & Vehicles,6345613,5155,281,636
1,1,1,Sports,262100,1875,303,524
9,9,9,Entertainment,476604,3502,823,924
16,16,16,Sports,649426,2296,308,897
5,5,5,Music,24491,734,24,300
9,9,9,Sports,213423,860,305,373
1,1,1,Sports,252542,760,100,111
1,1,1,Sports,255806,764,121,147
1,1,1,Sports,159410,631,160,190
1,1,1,Sports,266874,3489,976,1386
1,1,1,Sports,600228,3976,420,601
1,1,1,Sports,181929,578,125,173
1,1,1,Sports,465283,1623,289,343
3,3,3,Nonprofits & Activism,32744,473,11,54
3,3,3,Autos & Vehicles,61652,533,74,301
4,4,4,Autos & Vehicles,125806,1851,96,635
4,4,4,Entertainment,119271,8535,76,673
7,7,7,Education,97367,2461,72,416
27,27,27,Comedy,1236919,99533,823,28003
6,6,6,Education,38775,1373,16,140
21,21,21,Entertainment,1989746,30153,4648,4192
3,3,3,Entertainment,1615691,52089,2891,4219
18,18,18,Entertainment,5352705,68869,10428,25538
11,11,11,Entertainment,1368300,31469,8483,5103
2,2,2,Entertainment,435338,23194,370,1091
4,4,4,Entertainment,309271,21281,177,2502
2,2,2,Music,226317,11702,125,471
5,5,5,Howto & Style,65631,4197,96,170
6,6,6,Howto & Style,148590,5182,169,356
